idade,sexo,estado_civil,escola,Qte_dependentes,tempo_ultimoservico,trabalha,vl_salario_mil,reg_moradia,casa_propria,vl_imovel_em_mil,Qte_cartoes,Qte_carros,SCORE_REAL,PREVISAO_Regressão Linear,PREVISAO_Árvore de Decisão,PREVISAO_Random Forest
33,1,0,2,3,35,1,84.67890940488,5,0,0,1,0,317.0,440.6395446548811,409.4328859060402,424.099994846238
38,1,3,2,0,31,1,19.61366784744,5,0,0,1,1,444.6,408.55820700009826,430.2,413.8642116620015
45,1,3,1,2,33,1,74.121520368775,4,0,0,1,1,521.1,465.967965992857,459.7978003384095,445.81504797036905
51,0,0,3,4,38,1,20.3150490729072,3,1,258,1,0,481.0,384.5160882267882,411.2758620689655,405.6089331145799
55,1,0,0,2,38,1,196.768146641713,4,0,0,1,1,479.85,561.4822309704524,492.9547567567568,508.8234783765537
45,1,0,1,3,34,1,123.49999288325,3,1,219,1,1,363.0,461.75066464347935,407.77532467532467,450.78611351359376
52,0,3,1,2,35,0,0.0,3,0,0,1,0,314.64,339.21195080364845,308.5639024390243,347.8669748968773
51,1,3,2,0,28,1,127.294887006532,5,0,0,1,1,307.8,450.0804109061481,496.70740740740735,451.98674345888486
48,0,2,2,4,35,1,23.1397092450384,4,0,0,1,1,498.0,471.6985495519614,497.28352745424286,491.61511389357923
48,0,3,2,0,28,0,0.0,6,0,0,1,0,288.0,272.8319035411099,274.94490566037734,312.0475037317085
45,1,3,2,1,40,1,117.15884428591,1,1,1488,2,1,791.1,859.7997215334656,755.82,778.3132820857912
60,0,3,2,0,35,0,0.0,6,0,0,1,0,306.72,297.81576114616206,308.5639024390243,328.95331619695816
45,1,0,2,4,33,1,65.2591335732,5,0,0,1,0,479.0,405.94503767112843,409.4328859060402,426.197030867369
41,0,3,1,0,34,1,17.6131797640018,3,0,0,1,0,299.7,387.1996550911142,308.5639024390243,325.9804478912251
56,1,0,0,2,46,1,100.38163847712,5,0,0,1,0,472.0,470.27712028091906,457.0760736196319,438.07689292932656
41,1,3,4,0,32,1,119.592215896104,6,0,0,1,0,338.4,421.51083974339076,422.4763636363636,422.4415884915833
42,1,0,2,3,37,1,133.5142747033,1,1,793,1,0,693.0,578.6072321612037,560.6034444444444,663.6835518317913
44,1,2,4,4,41,1,73.97400276864,1,1,820,2,0,658.0,650.7814941963709,650.2666666666667,684.213939862048
52,0,1,3,3,44,1,20.481969249792,3,1,260,1,1,485.0,474.2941847339815,497.52,444.9789887429315
59,1,3,1,0,50,1,100.470276923808,2,1,203,1,1,439.2,506.89216217169536,550.8405405405407,502.039366710114
37,1,3,4,0,22,0,0.0,2,1,257,1,0,228.24,224.95620695879484,302.3714285714286,310.3888996291751
41,1,0,2,3,34,1,190.82278608198,2,1,800,1,1,573.0,658.5497504301734,641.152,655.8422549944438
50,1,0,2,2,44,1,102.09172155,2,1,530,1,0,423.0,512.8297527032435,457.0760736196319,501.7649076936771
34,0,3,4,0,33,1,20.4490730733811,4,0,0,1,1,460.8,459.3905038308987,430.2,436.0476902094841
42,0,3,1,0,29,0,0.0,3,0,0,2,0,458.64,374.1506404682474,389.5800000000001,365.04782066467453
44,0,3,3,0,33,1,19.0842229673971,2,1,252,1,1,375.3,406.9042634966348,364.1385964912281,364.1755413484122
43,0,3,4,0,35,1,21.3833998468319,3,0,0,1,0,401.4,405.85418270771055,409.13650793650794,398.55874167148266
35,0,0,2,1,17,1,17.284965539328,5,0,0,1,0,264.0,288.9995367617702,274.94490566037734,289.14706354485924
55,1,0,2,3,33,1,66.94942553575,3,1,159,1,1,385.0,393.11799272086705,459.7978003384095,413.0252012660562
38,0,3,2,0,34,1,65.1105161396928,6,0,0,1,0,414.0,407.5431116544993,371.3832214765101,389.98280957990215
55,0,0,1,2,49,0,0.0,6,0,0,1,0,379.2,392.38504692992564,344.9574074074074,358.8974186964074
48,0,0,1,2,33,1,23.6411992511736,4,0,0,1,1,501.0,440.5689278003979,459.7978003384095,475.47077133734933
52,1,0,2,4,31,1,69.77541030096,5,0,0,1,1,426.0,449.2723320975632,459.7978003384095,441.94357044383815
38,1,3,3,0,25,1,180.950182993248,6,0,0,1,0,493.2,423.8025029187257,382.3849056603772,416.4168945472598
46,0,2,2,2,37,1,22.5348983724816,5,0,0,1,1,524.0,464.98724127808765,497.28352745424286,491.89401793827574
28,0,3,4,0,17,1,17.2150473167309,6,0,0,2,1,405.9,427.29329122484086,330.35,380.3525500323642
39,1,0,3,4,30,1,94.76921977617,4,0,0,1,1,583.0,489.88427495239984,459.7978003384095,434.0643286868611
37,1,3,2,0,35,1,117.46801799025,4,0,0,1,0,405.0,448.7267207276301,422.4763636363636,420.0963752579831
39,0,1,2,0,30,1,21.172184228016,2,1,439,1,1,380.0,433.71909050381055,489.79212598425204,467.89099044857403
55,0,0,4,2,32,0,0.0,3,1,278,1,1,235.2,346.0422376136173,325.2032,344.6959617261469
48,1,3,2,0,28,1,128.880792554976,4,0,0,1,0,397.8,401.2614970687587,382.3849056603772,422.03000183766096
38,0,3,4,0,28,1,59.920450956725,3,0,0,1,0,267.3,398.8883306336679,326.18750000000006,375.67793408333296
57,0,3,0,0,32,1,75.7550296165555,3,0,0,1,1,532.8,452.3201876565154,459.7978003384095,462.77424274493114
52,1,3,0,0,43,1,197.387445133349,6,0,0,1,0,570.78,509.31623257626626,586.8455737704917,532.588487455327
37,1,0,2,1,32,1,109.26471165808,5,0,0,1,0,736.0,421.76824997634213,485.2121212121212,442.0749426140515
39,0,0,4,3,27,0,0.0,6,0,0,1,0,320.8,304.5134835978889,274.94490566037734,309.0728893546109
49,0,0,2,1,34,1,22.703158102443,6,0,0,1,1,465.0,427.57607899747603,459.7978003384095,468.25104514017534
43,1,0,3,4,30,1,61.97576187374,6,0,0,1,1,322.0,446.9272160673305,459.7978003384095,421.57635189453106
50,1,3,4,0,44,1,102.35639784375,5,0,0,1,1,634.5,535.8220444770648,497.28352745424286,522.8209129171993
45,0,2,2,3,34,1,22.04817058122,3,1,418,2,1,514.0,529.1597469150151,547.43125,547.0322880467583
42,0,2,1,2,29,1,18.4203501554208,3,1,231,1,1,334.0,377.59665495510137,364.1385964912281,363.7588651676434
40,0,3,0,0,26,1,95.4340033775268,1,1,461,1,0,342.9,406.2836775561781,416.3142857142857,406.1743463639479
58,1,3,3,0,48,1,108.137597960312,4,0,0,2,1,682.2,625.7841793866528,673.5827586206897,680.3274703493541
49,1,0,3,3,26,1,97.8382507248,4,0,0,1,1,420.0,448.6551353678866,426.8409395973154,458.9287946805994
54,1,1,0,2,41,1,197.705938629584,3,1,260,1,1,471.45,542.7266362104338,492.9547567567568,508.34330243594
41,0,0,4,2,30,1,17.2239715227384,3,1,154,1,1,381.0,377.10168008754806,364.1385964912281,346.3341590447389
40,0,0,1,5,33,1,67.085433762816,2,1,476,1,1,496.0,519.210137224665,489.79212598425204,477.7613020070915
65,0,3,1,0,52,1,23.348170184724,4,0,0,1,0,436.5,457.430234851134,457.0760736196319,470.95218112539936
44,1,0,3,3,35,1,96.50764807632,4,0,0,1,0,389.0,445.86297639780065,409.4328859060402,464.8542731424396
65,0,0,1,0,53,1,19.717049860596,5,0,0,1,1,446.0,511.50966686175946,416.1666666666667,435.553691816683
26,1,3,1,0,11,1,54.17612817813,5,0,0,1,0,193.5,266.66720050197443,220.2222222222222,248.03180097815238
36,0,3,1,0,34,1,17.616844370029,4,0,0,1,0,369.9,386.65387719741113,340.295625,343.81815455910447
54,0,0,4,0,34,1,18.2673693360312,2,1,281,1,1,286.0,406.62248964256605,364.1385964912281,359.36227763167716
62,1,3,3,0,49,1,106.0558515,3,0,0,1,0,540.0,500.73264850878354,507.95405405405404,506.3738569210931
44,0,3,2,1,35,0,0.0,3,0,0,1,0,342.72,347.38906277352766,308.5639024390243,332.9305498637956
41,0,0,1,5,28,1,63.4702079356002,5,0,0,1,1,369.0,461.84170297425317,426.8409395973154,423.1267604716116
49,1,0,1,3,36,1,132.92065458639,5,0,0,1,0,467.0,455.1586569348397,564.5574074074075,522.9833511848132
46,1,3,1,0,35,1,122.970926179528,1,1,260,1,1,385.2,472.58105810131707,497.28352745424286,425.37848717693726
45,1,2,1,1,31,1,186.66516628365,3,1,391,1,0,389.0,455.67054197463574,506.254597122302,509.15770109321477
63,1,0,2,2,34,1,18.87286036872,5,0,0,1,0,328.0,341.53615625541295,344.9574074074074,365.85784183465694
50,1,3,3,0,38,1,101.5277669748,5,0,0,1,0,474.3,434.7575537751131,428.29344978165943,461.6557605616657
41,1,0,2,4,25,1,125.15867863005,4,0,0,1,0,495.0,414.1428048213522,382.3849056603772,450.7902661831443
59,1,3,3,0,52,1,92.613837971466,1,1,1423,2,0,740.7,815.5788622837101,703.0,730.6569737838329
52,0,0,2,2,32,1,72.4790965165056,6,0,0,1,2,539.0,515.0306392371913,564.972972972973,574.1223633687355
41,1,3,4,2,31,1,132.504252520416,4,0,0,1,1,605.7,513.774873455869,564.5574074074075,541.1554600014296
32,0,1,3,0,34,1,17.0197930180872,5,0,0,1,0,411.0,390.79761633708995,344.9574074074074,348.62957188550996
45,1,0,0,3,38,1,67.0374746472,3,1,429,1,0,438.0,427.53636461467164,428.29344978165943,463.87994647171456
56,1,0,2,2,43,1,100.8227290824,3,1,231,1,0,372.0,422.8308346916539,428.29344978165943,395.82358549388493
47,1,0,2,4,28,1,99.60640976916,4,0,0,1,1,486.0,466.7199979815079,426.8409395973154,471.5021656945986
39,0,3,2,0,24,1,18.0590354015691,1,1,234,1,1,324.9,359.02511874066516,349.02117647058816,330.85029699020083
45,1,3,2,0,31,1,65.8760225882,5,0,0,1,0,351.0,370.9276650918556,371.3832214765101,379.1623426794057
36,0,0,2,3,25,1,20.8423262445792,1,1,437,1,1,453.0,434.09439794797527,437.1375,423.86656560285104
47,1,3,2,0,31,1,75.12230616051,1,1,782,1,1,685.8,537.056885717287,577.9799999999999,557.6420133635279
41,0,3,3,0,29,1,21.7925941443982,4,0,0,1,0,351.9,362.2569508225457,409.13650793650794,388.70066005878687
55,1,3,2,0,34,1,69.9835210625,4,0,0,1,0,373.5,385.28552799179624,371.3832214765101,382.2050250731599
45,0,0,3,3,28,1,62.67814958265,5,0,0,1,1,325.0,451.0490987341135,426.8409395973154,431.2079506755818
54,0,3,2,0,40,1,104.912919806864,6,0,0,1,1,508.5,510.7078450104496,497.28352745424286,512.8425268377782
48,0,0,2,4,33,1,21.157534302984,5,0,0,1,1,455.0,449.3193968524693,459.7978003384095,461.9482852484102
26,0,3,3,0,11,0,0.0,4,1,247,1,0,208.8,171.82574360613518,224.06,236.71035631119895
52,1,0,3,2,46,1,106.06372614096,5,0,0,1,0,654.0,492.41488412105235,507.95405405405404,471.89922131275586
43,0,0,2,2,31,1,17.311030368918,5,0,0,1,1,330.0,428.1007653804979,383.49285140562256,362.2003508779034
42,0,2,1,4,31,1,21.0703099399152,5,0,0,1,1,466.0,443.3567590406222,459.7978003384095,461.95599675474205
58,1,3,4,0,53,1,148.220922107468,1,1,796,1,1,665.1,714.6307623089517,697.0142857142857,686.7404108844448
54,0,0,3,3,48,1,73.2906270968256,5,0,0,1,0,512.0,502.4413745344319,457.0760736196319,472.8799968706643
38,0,3,3,0,23,1,64.127528789076,6,0,0,1,0,356.4,346.783757990045,351.0965116279069,343.0967851945959
44,0,2,2,5,36,1,19.3160539171584,6,0,0,1,1,399.0,472.48412440327394,383.49285140562256,411.0038015609782
49,1,0,4,2,37,1,149.71746273784,2,1,1420,1,0,667.0,718.1681646900531,664.6999999999999,722.4417298918339
26,1,3,1,0,14,1,79.5818321235,5,0,0,1,0,200.7,302.2234714678892,538.6666666666666,274.886410551654
59,0,3,3,0,51,0,0.0,2,1,464,1,0,400.32,425.6738137780398,394.70400000000006,416.0510374348133
56,0,3,3,1,35,1,19.7754915451392,3,0,0,1,0,333.0,389.890746257537,345.24,353.3480348784792
52,1,1,2,2,43,1,139.64681069496,4,0,0,2,1,707.0,633.9551934356284,628.0222222222222,707.6789982048718
45,0,3,1,0,35,1,22.395707767146,3,0,0,1,0,406.8,391.12128431976237,409.13650793650794,397.5256551749409
42,0,0,4,2,26,1,22.2006992837124,1,1,465,1,1,463.0,441.1122966716421,437.1375,464.15587774307215
36,1,3,2,0,25,1,117.354433365288,3,0,0,1,0,366.3,398.691553784175,382.3849056603772,415.25707429209535
39,0,3,0,0,30,1,66.6288385585852,5,0,0,2,0,510.3,452.74079340718407,409.9875,473.5052685693538
48,1,0,3,2,27,1,68.3827923934,3,1,430,1,1,429.0,427.6005369375736,475.54999999999995,460.2932529206962
39,0,1,4,1,33,0,0.0,4,0,0,1,0,324.0,341.5896576666787,369.6473684210526,347.798159381876
49,0,0,1,2,41,1,21.166134573795,4,0,0,1,1,475.0,484.26770997815004,497.28352745424286,483.8843982646338
50,1,0,0,5,36,1,196.72632508575,5,0,0,2,0,689.85,578.4210196635075,632.1785714285714,637.7106579421546
39,0,3,3,1,34,0,0.0,3,0,0,1,0,329.76,352.45155189500315,308.5639024390243,327.8208356034086
53,0,0,1,1,44,1,69.5866819138182,3,1,231,1,0,539.0,417.0394705531673,457.0760736196319,407.97528372534714
42,0,0,1,3,30,0,0.0,3,1,515,1,0,378.4,338.39398545329743,388.40000000000003,388.9323858210501
49,0,3,3,0,38,1,22.9467779363993,3,0,0,1,0,443.7,412.2665865858077,450.4853146853148,430.0178836724297
49,0,3,4,0,36,1,66.6865209849002,1,1,239,1,0,351.9,398.92452370700687,428.29344978165943,418.64698825165794
26,1,3,1,0,11,1,15.751632565242,6,0,0,1,0,225.9,232.22946659130963,197.1,233.38483032402456
45,0,1,4,3,30,1,18.041320676871,3,1,185,1,1,291.0,387.1854175354937,364.1385964912281,366.86648512263923
47,1,0,4,4,41,1,97.57719213396,4,0,0,1,0,423.0,488.705708014541,428.29344978165943,490.30887080289745
53,1,2,3,1,33,1,134.1732757032,3,1,295,1,0,572.0,406.1845635375001,564.5574074074075,465.61551929975707
52,0,3,1,0,41,1,23.085776634503,5,0,0,1,0,471.6,403.00347674578495,450.4853146853148,436.2407785756186
45,0,3,4,2,29,1,22.2261224881164,3,0,0,1,1,406.8,443.2738480959162,459.7978003384095,457.70866193704256
37,1,3,4,0,35,1,115.976848828381,6,0,0,1,0,287.1,441.80816532874667,422.4763636363636,419.4337462939789
52,1,0,4,0,33,1,133.60135679744,4,0,0,1,0,528.0,433.93362865489206,564.5574074074075,515.9772528397576
43,0,0,2,3,32,0,0.0,6,0,0,1,0,340.0,319.9076590759081,369.6473684210526,369.32320511958807
46,1,1,1,2,36,1,96.72983002602,6,0,0,1,0,341.0,420.61305353498733,428.29344978165943,439.5572212069847
34,0,3,2,1,26,1,63.171621631576,5,0,0,1,0,407.7,378.61832726118723,351.0965116279069,345.14329590130524
50,1,0,3,1,33,1,134.347490676,6,0,0,1,1,584.0,486.3145778839769,564.5574074074075,517.2287262730974
38,1,0,2,2,30,1,117.6678055488,5,0,0,1,1,432.0,482.5479072285298,459.7978003384095,423.4252660857556
38,1,0,3,2,25,1,87.37786034352,4,0,0,1,0,278.0,382.16590289927956,268.90909090909093,354.6262956902015
65,1,3,4,0,53,1,25.34907732588,3,0,0,1,0,586.8,467.17906624370676,457.0760736196319,492.31683761885654
60,0,3,1,0,39,1,70.0938127114176,3,0,0,1,0,343.8,428.3918276675418,428.29344978165943,437.8266321395754
33,1,3,2,0,17,1,113.379687106392,5,0,0,1,1,352.8,399.81479078360076,378.39478260869566,386.17188028317696
48,1,0,2,3,46,1,152.49666303136,1,1,1495,1,2,852.0,918.8150617467638,882.2883333333333,830.0451435713135
55,0,0,1,2,34,1,20.072382888417,3,1,222,1,1,391.0,386.5941847757539,377.3545454545455,382.1150411199803
54,1,0,1,3,42,1,131.13871892352,4,0,0,1,1,431.0,550.6565932402707,497.28352745424286,478.8120852215303
40,1,0,2,3,34,1,94.5069628734,6,0,0,1,1,557.0,486.38606774460175,459.7978003384095,446.8360819989666
31,0,3,1,0,16,1,19.2743291311902,6,0,0,1,1,333.0,335.9503143716341,395.8666666666666,368.86959242496215
38,0,0,2,1,30,0,0.0,3,1,520,1,0,356.0,335.67150087651237,388.40000000000003,362.0767466823523
45,1,1,3,4,43,1,149.1250963348,3,0,0,1,0,859.0,543.5798636804662,714.1535714285714,648.9716999078255
45,0,3,3,1,24,0,0.0,6,0,0,1,0,208.08,264.4133149765884,274.94490566037734,304.62399713377533
46,1,0,1,2,27,1,124.3872666216,6,0,0,1,1,440.0,447.6756149151855,496.70740740740735,451.3543554521009
44,1,3,2,1,34,1,132.571966289904,3,0,0,1,1,576.9,519.3242691221355,564.5574074074075,534.7037483410426
54,0,0,1,2,43,1,19.7414593238016,3,1,197,1,1,496.0,434.6271543813217,441.8181818181818,437.3264685037408
31,0,0,2,0,25,1,16.30746082125,4,1,191,1,0,245.0,278.63934484069057,218.21428571428572,282.68263544823554
47,0,3,2,1,36,1,18.9812318629424,6,0,0,1,1,432.9,442.4165372809181,383.49285140562256,396.57934834772044
50,1,1,0,2,41,1,70.60292334,5,0,0,1,0,520.0,428.9419245027184,428.29344978165943,441.72788848799655
48,1,2,4,1,33,1,94.53539938688,3,1,287,1,1,408.0,448.29581452566424,407.77532467532467,429.0704586509908
59,1,0,2,0,52,1,102.13549907778,6,0,0,1,0,458.0,490.5113031656178,457.0760736196319,467.1806140906586
42,0,3,1,0,15,1,17.027279560321,5,0,0,1,1,309.6,321.08209186051204,280.32,312.73457676989466
32,0,3,1,0,31,1,21.6434468902291,4,0,0,1,1,568.8,438.4080242724374,459.7978003384095,473.0042567255013
40,1,1,2,3,29,1,124.7869270648,4,0,0,1,1,582.0,494.0463982254888,459.7978003384095,497.7970800529985
49,0,0,4,4,35,1,24.2085257032128,1,1,511,1,1,544.0,509.7777996609771,497.28352745424286,511.3771462514711
45,0,3,2,1,32,1,22.47747148092,2,1,466,1,0,365.4,392.19107171255774,409.13650793650794,411.8788846222612
40,0,0,2,3,23,1,13.55468334276,1,1,904,1,1,502.0,518.2486597571788,480.38,488.231756945952
36,0,3,1,0,21,1,17.8424005270382,6,0,0,1,0,285.3,296.40225107977255,300.78000000000003,289.1652783951798
52,0,3,3,0,42,1,23.226154098289,3,0,0,1,1,480.6,492.994114665689,497.28352745424286,514.906299429966
41,0,1,1,2,33,1,18.4291089288768,3,1,229,1,0,428.0,339.7006790821444,369.6473684210526,362.3796066056308
50,0,3,0,0,33,1,110.92663972854,4,0,0,1,1,544.5,485.214937354939,459.7978003384095,496.4923012629945
32,0,0,2,1,21,1,37.8303439566096,3,1,1627,1,0,697.0,610.0654373973882,632.1750000000001,612.243950743771
44,1,2,3,2,44,1,104.66224309728,1,1,749,2,1,769.0,717.3364053653975,794.311,717.3488890987858
33,0,0,0,3,26,1,59.68052218842,5,0,0,1,1,325.0,440.38711063362786,426.8409395973154,383.3235876698524
45,1,2,2,3,39,1,210.40741341665,1,1,1422,1,2,811.0,908.3882532016682,828.2699999999999,801.3622971230628
49,1,3,4,0,41,1,124.8762363093,2,1,269,1,0,322.2,451.5521619024781,428.29344978165943,429.55849770992717
41,0,3,2,0,23,1,67.3976879736806,4,0,0,1,0,387.9,355.2398659142638,351.0965116279069,349.3387789606028
47,1,0,2,3,40,1,21.16991719017,6,0,0,1,0,487.0,399.04646715200306,450.4853146853148,456.65200728874487
55,0,0,0,2,46,1,106.638950427606,6,0,0,1,0,506.0,486.35260527709517,507.95405405405404,480.948488995046
33,0,3,3,1,27,0,0.0,6,0,0,1,0,318.96,297.9080458692227,303.1790909090909,311.64789605482366
56,1,1,2,2,42,1,204.01677120396,3,1,433,1,1,519.0,598.3098197495145,569.0022777777779,594.0685474558858
47,0,3,3,0,33,1,22.0761585789696,4,0,0,1,0,432.0,377.87385679570394,409.13650793650794,401.3267496027769
45,0,1,0,3,30,1,99.87043356948,6,0,0,1,1,565.0,470.16911735546427,459.7978003384095,485.2160891123018
57,0,2,1,3,41,1,23.2959072569136,6,0,0,2,0,456.0,478.60810281508356,655.5600000000001,547.7004869767694
37,1,3,4,0,16,1,60.436521378792,3,0,0,1,1,351.9,374.0305192800347,378.39478260869566,378.3666590076906
39,1,0,0,3,36,1,110.45389971356,2,1,1412,1,1,721.0,746.7441162831788,727.9090909090909,702.9289608716452
37,1,0,4,3,26,1,116.70273733285,6,0,0,1,1,327.0,467.8559009087363,426.8409395973154,426.1676042357248
47,0,0,3,3,33,1,23.796722516994,5,0,0,1,1,535.0,450.0628584597331,459.7978003384095,473.50706639615964
53,1,3,4,0,33,1,131.640284934693,4,0,0,1,1,371.7,495.4648329082047,459.7978003384095,491.8289267902791
41,0,0,2,2,28,1,21.474130624596,6,0,0,1,0,478.0,347.8468674510515,415.6666666666667,401.70818391541434
52,0,0,4,2,35,0,0.0,5,0,0,1,0,222.4,334.4896030199234,344.9574074074074,360.17970419539716
55,1,0,0,3,47,1,200.24770892222,3,1,224,1,0,569.1,514.6431265638845,492.9547567567568,515.9574305234476
47,0,0,1,3,35,1,19.2000421738944,1,1,239,1,1,332.0,427.438890906849,364.1385964912281,379.90192402711995
49,0,0,3,2,37,1,70.7825052481272,5,0,0,1,1,516.0,497.3877565656249,497.28352745424286,494.722900940385
35,0,0,4,1,28,1,16.940724431994,3,1,197,1,1,274.0,376.2506158235878,335.04727272727274,344.36526839903985
56,1,0,1,2,39,1,98.7083374992,3,1,269,1,1,340.0,463.4545049364004,497.28352745424286,413.9834168421923
43,1,2,2,3,30,1,97.10284609168,5,0,0,1,0,436.0,408.99959612850614,409.4328859060402,453.576371810687
54,1,3,3,1,36,1,136.332111285678,1,1,427,1,1,504.9,530.5422275791393,564.5574074074075,536.5241087288881
44,0,0,2,1,33,1,21.0641736684672,3,1,362,1,1,532.0,425.49183378177116,489.79212598425204,466.2273622631066
49,0,0,4,2,32,1,22.4574704883348,6,0,0,1,0,481.0,369.8294571886466,437.32738095238096,437.7615712616834
50,0,3,2,0,33,1,19.961984994786,1,1,255,1,1,396.9,403.16476578872863,377.3545454545455,386.37838530814804
45,0,1,3,3,36,1,74.176251999465,2,1,715,2,1,637.0,655.8570939581762,636.4555555555556,644.0006413323532
52,1,0,2,1,33,1,131.22434115584,4,0,0,1,1,576.0,491.56708013567203,459.7978003384095,494.7889263018338
51,1,0,4,4,44,1,135.7321554064,4,0,0,1,1,598.0,589.1099806616767,564.5574074074075,571.8588116592798
51,0,3,2,1,41,1,17.6662265511522,3,0,0,1,0,282.6,425.8647069459311,343.2,334.7148352488781
38,0,0,2,2,31,1,18.0327579442632,5,0,0,1,1,386.0,435.25878597061427,383.49285140562256,378.06775462581976
48,0,3,4,0,38,1,89.019885951942,6,0,0,1,1,697.5,504.2475793242387,497.28352745424286,498.6538868142219
43,0,0,2,2,23,0,0.0,4,0,0,1,0,354.4,274.94528567350267,274.94490566037734,308.99158210562723
46,1,0,1,3,37,1,100.64356839284,5,0,0,1,0,658.0,442.10978633019465,428.29344978165943,481.9193252937205
59,0,3,1,0,53,1,24.3328008351028,2,1,425,1,0,527.4,477.38126962446927,457.0760736196319,479.0248838590545
57,0,3,3,0,33,1,20.6890530662647,4,0,0,1,1,378.9,424.72357063492854,377.3545454545455,422.2270792899048
41,0,3,1,0,34,0,0.0,4,0,0,1,0,359.28,327.3492438445154,308.5639024390243,315.33679717552826
46,0,0,3,3,36,1,23.0745195427212,4,0,0,1,1,487.0,475.61834494816026,497.28352745424286,490.2697513737025
61,1,0,1,1,47,1,67.80959933643,1,1,221,1,1,347.0,478.4227480261542,550.8405405405407,466.79211862828555
56,1,0,3,2,47,1,101.81066748216,5,0,0,1,2,619.0,612.1818705392484,649.8571428571429,578.7408115063248
51,0,0,2,1,37,1,24.0134679659988,3,1,480,1,1,533.0,468.5376005697411,497.28352745424286,520.647121576398
50,0,3,1,0,43,1,21.851874619596,4,0,0,1,0,461.7,423.67757161309055,450.4853146853148,433.5888960231392
