ID_CLIENTE,TIPO_FUNCIONARIO,DIA_PAGAMENTO,TIPO_ENVIO_APLICACAO,QUANT_CARTOES_ADICIONAIS,TIPO_ENDERECO_POSTAL,SEXO,ESTADO_CIVIL,QUANT_DEPENDENTES,NIVEL_EDUCACIONAL,ESTADO_NASCIMENTO,CIDADE_NASCIMENTO,NACIONALIDADE,ESTADO_RESIDENCIAL,CIDADE_RESIDENCIAL,BAIRRO_RESIDENCIAL,FLAG_TELEFONE_RESIDENCIAL,CODIGO_AREA_TELEFONE_RESIDENCIAL,TIPO_RESIDENCIA,MESES_RESIDENCIA,FLAG_TELEFONE_MOVEL,FLAG_EMAIL,RENDA_PESSOAL_MENSAL,OUTRAS_RENDAS,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OUTROS_CARTOES,QUANT_CONTAS_BANCARIAS,QUANT_CONTAS_BANCARIAS_ESPECIAIS,VALOR_PATRIMONIO_PESSOAL,QUANT_CARROS,EMPRESA,ESTADO_PROFISSIONAL,CIDADE_PROFISSIONAL,BAIRRO_PROFISSIONAL,FLAG_TELEFONE_PROFISSIONAL,CODIGO_AREA_TELEFONE_PROFISSIONAL,MESES_NO_TRABALHO,CODIGO_PROFISSAO,TIPO_OCUPACAO,CODIGO_PROFISSAO_CONJUGE,NIVEL_EDUCACIONAL_CONJUGE,FLAG_DOCUMENTO_RESIDENCIAL,FLAG_RG,FLAG_CPF,FLAG_COMPROVANTE_RENDA,PRODUTO,FLAG_REGISTRO_ACSP,IDADE,CEP_RESIDENCIAL,CEP_RESIDENCIAL_3,ROTULO_ALVO_MAU
103,C,15,0,0,1,M,2,1,0,RS,Cachoeira do Sul,1,RS,Cachoeira do Sul,Sao Jose,Y,54,1.0,26.0,N,0,500.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,Cachoeira do Sul,Centro,Y,54,0,9.0,5.0,0.0,0.0,0,0,0,0,1,N,26,965,965,0
104,C,10,0,0,1,F,1,1,0,BA,MEDEIROS NETO,1,BA,TEIXEIRA DE FREITAS,JARDIM DOS PASSAROS,Y,84,1.0,10.0,N,0,466.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,BA,TEIXEIRA DE FREITAS,CENTRO,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,2,N,29,459,459,1
110,C,5,0,0,1,F,2,3,0,SC,FLORIANOPOLIS,1,SC,BIGUACU,SEVEIRO,Y,50,1.0,2.0,N,1,395.0,320.0,0,0,0,0,0,1,1,38000.0,1,Y,SC,SAO JOSE,ESTREITO,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,2,N,26,881,881,0
113,C,10,0,0,1,M,2,0,0,RS,ERVAL SECO,1,RS,SAO LEOPOLDO,VICENTINA,N, ,1.0,15.0,N,1,636.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,SAO LEOPOLDO,PADRE REUS,Y,54,0,13.0,5.0,0.0,0.0,0,0,0,0,1,N,60,930,930,0
125,C,10,0,0,1,F,2,0,0,MT,CUIABA,1,MT,VARZEA GRANDE,MARINGA UM,Y,71,1.0,22.0,N,0,604.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MT,CUIABA,GOIABEIRAS,Y,71,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,22,781,781,0
128,C,5,0,0,1,M,1,0,0,PE,RECIFE,1,PB,JOAO PESSOA,MANGABEIRA VII,Y,103,1.0,14.0,N,0,350.0,0.0,0,0,0,0,0,1,1,25000.0,1,Y,PB,JOAO PESSOA,MIRAMAR,N, ,0,12.0,5.0,0.0,0.0,0,0,0,0,2,N,50,580,580,1
133,C,15,0,0,1,F,2,3,0,SP,CARDOSO,1,SP,SAO JOSE DO RIO PRETO,EST ALVORADA,Y,15,1.0,2.0,N,1,400.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,SAO JOS EOD RIO PRETO,HIGENOPOLIS,Y,15,0,0.0,0.0,0.0,0.0,0,0,0,0,1,N,30,150,150,1
135,C,10,0,0,1,F,2,0,0,RS,PELOTAS,1,RS,Pelotas,areal,Y,58,1.0,12.0,N,0,394.0,0.0,1,1,0,0,0,1,1,0.0,1,Y,RS,PELOTAS,CENTRO,Y,58,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,27,960,960,0
139,C,10,0,0,1,M,2,0,0, , ,0,SP,PEDREIRA,MARAJOARA,Y,18,1.0,0.0,N,1,630.0,0.0,0,0,0,0,0,1,1,0.0,1,N, , , ,N, ,0,11.0,5.0,11.0,0.0,0,0,0,0,2,N,40,139,139,1
140,C,20,Web,0,1,F,2,4,0,BA,urucuca,1,SP,sao paulo,vila sao jose,Y,5,2.0,1.0,N,1,660.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,sao paulo,sao miguel,Y,5,0,9.0,5.0,2.0,3.0,0,0,0,0,1,N,35,814,814,0
161,C,15,0,0,2,F,2,0,0,MT,COXIM,1,MT,SORRISO,BENJAMIN RAIZER,N, ,2.0,2.0,N,0,642.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MT,SORRISO,CENTRO,Y,73,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,45,788,788,0
168,C,10,0,0,1,F,1,0,0,BA,Feira de Santana,1,BA,Feira de Santana,Parque Ipe,Y,86,1.0,15.0,N,0,480.0,0.0,0,1,0,0,0,1,1,0.0,1,Y,BA,Feira de Santana,Centro,Y,86,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,20,440,440,1
190,C,10,0,0,1,M,2,2,0,RJ,RIO DE JANEIRO,1,RJ,CAMPOS DOS GOITACAZES,PRQ ROSARIO,Y,22,1.0,16.0,N,0,368.0,0.0,1,0,0,0,0,1,1,0.0,1,Y,RJ,CAMPOS DOS GOITACAZES,CENTRO,Y,22,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,45,280,280,0
193,C,25,0,0,1,M,1,1,0, , ,0,BA,MASCOTE,S JOAO PARAISO,Y,84,1.0,0.0,N,1,1566.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,BA,MASCOTE,SAO J PARAISO,Y,84,0,11.0,2.0,11.0,0.0,0,0,0,0,2,N,34,458,458,1
229,C,10,0,0,1,M,1,0,0,RS,PASSO FUNDO,1,RS,PASSO FUNDO,CENTRO,Y,61,4.0,3.0,N,0,800.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,PASSO FUNDO,CENTRO,Y,61,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,27,990,990,0
230,C,25,0,0,1,F,1,0,0, , ,0,RJ,RIO DE JANEIRO,CAMPO GRANDE,Y,20,1.0,0.0,N,1,850.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,RIO DE JANEIRO,STA CRUZ,Y,20,0,9.0,2.0,11.0,0.0,0,0,0,0,1,N,29,230,230,1
233,C,15,0,0,1,F,1,1,0,PE,RECIFE,1,PE,Recife,COHaB,Y,97,1.0,5.0,N,1,414.0,0.0,0,0,0,0,0,1,1,0.0,1,N,PE,RECIFE,BOA VISTA,Y,97,0,0.0,0.0,0.0,0.0,0,0,0,0,1,N,44,513,513,1
243,C,20,0,0,1,M,2,0,0,BA,SALVADOR,1,BA,CAMACARI,GLEBA E,N, ,1.0,22.0,N,1,1649.0,0.0,1,0,0,0,0,1,1,0.0,0,Y,BA,SALVADOR,BARRIS,Y,81,0,10.0,2.0,10.0,4.0,0,0,0,0,2,N,49,428,428,0
244,C,5,0,0,1,M,2,0,0,PA,BELEM,1,PA,ITAITUBA,JARDIM DAS ARARAS,Y,119,1.0,1.0,N,0,1220.0,0.0,0,0,0,0,0,0,0,10000.0,1,Y,PA,ITAITUBA,BOM JARDIM,Y,119,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,23,681,681,0
246,C,10,0,0,1,F,2,0,0,RS,DOM PEDRITO,1,RS,Dom pedrito,maria jose,N, ,1.0,6.0,N,0,434.0,0.0,0,0,0,0,0,1,1,0.0,1,N,RS,Dom pedrito,tudi de godoi,Y,58,0,0.0,0.0,0.0,0.0,0,0,0,0,1,N,47,964,964,0
247,C,20,0,0,1,F,2,0,0,RS,PELOTAS,1,RS,PELOTAS,FRAGATA,Y,58,1.0,9.0,N,0,483.0,0.0,0,1,0,0,0,1,1,0.0,1,Y,RS,Pelotas,areal,Y,58,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,40,960,960,0
248,C,10,0,0,1, ,2,1,0,RS,PORTO ALEGRE,1,RS,Porto Alegre,Restinga,Y,54,1.0,8.0,N,0,436.0,0.0,1,0,0,0,0,0,0,0.0,1,Y,RS,PORTO ALEGRE,CENTRO,Y,54,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,33,917,917,1
249,C,10,0,0,1,M,1,0,0,RS,PELOTAS,1,RS,PELOTAS,BOM JESUS (AREAL ),Y,58,1.0,1.0,N,0,1200.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,PELOTAS,AREAL,Y,58,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,26,960,960,0
252,C,10,0,0,1,M,2,0,0,RS,SAO LOURENCO DO SUL,1,RS,PELOTAS,TRES VENDAS,Y,58,1.0,12.0,N,0,1950.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,CAPAO DO LEAO,J AMERICA,Y,58,0,7.0,5.0,0.0,0.0,0,0,0,0,1,N,55,960,960,0
265,C,10,0,0,1,M,0,3,0, , ,0,AP,PORTO GRANDE,AEROPORTO,Y,123,1.0,0.0,N,1,397.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, , , ,N, ,0,11.0,2.0,11.0,0.0,0,0,0,0,1,N,31,689,689,1
282,C,15,0,0,1,F,1,1,0, , ,0,PE,PAULISTA,MARANGUAPE I,Y,97,3.0,0.0,N,1,1338.0,0.0,1,1,0,0,0,0,0,0.0,1,Y,PE,RECIFE,GRACAS,Y,97,0,9.0,3.0,11.0,0.0,0,0,0,0,1,N,52,534,534,0
289,C,5,Web,0,1,M,2,4,0,MG,CAPITAO ANDRADE,1,MG,Belo Horizonte,Lindeia,Y,29,5.0,30.0,N,1,514.0,0.0,0,0,0,0,0,0,0,40000.0,0,Y,MG,Betim,Jardim Piemont,Y,29,0,9.0,2.0,9.0,4.0,0,0,0,0,2,N,31,306,306,0
302,C,25,0,0,1,F,1,0,0, , ,0,RJ,NOVA FRIBURGO,CORDEIRA,Y,22,2.0,0.0,N,1,284.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,NOVA FRIBURGO,CONEGO,Y,22,0,9.0,2.0,11.0,0.0,0,0,0,0,1,N,41,296,296,1
303,C,10,0,0,1,F,3,0,0,BA,GUARATINGA,1,ES,SERRA,JOSE DE ANCHIETE DOIS,Y,25,1.0,2.0,N,0,657.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,ES,SERRA,JOS DE ANCHIETA,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,2,N,40,291,291,1
333,C,10,0,0,1,F,1,2,0,PR,MARIALVA,1,PR,SARANDI,PQ ALVAMAR II,Y,44,1.0,14.0,N,0,380.0,95.0,0,0,0,0,0,1,1,0.0,1,Y,PR,MARINGA,ZONA QUATRO,Y,44,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,32,871,871,0
338,C,5,0,0,1,F,1,0,0,PE,GARANHUNS,1,PE,GARANHUNS,MAGANO,Y,111,1.0,9.0,N,0,1300.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PE,GARANHUNS,MAGANO,Y,111,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,29,552,552,0
341,C,20,0,0,1,M,1,1,0,PA,TUCURUI,1,AP,MACAPA,BONE AZUL,Y,123,5.0,10.0,N,0,600.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,AP,MACAPA,SANTA RITA,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,31,689,689,0
350,C,10,0,0,1,M,2,1,0,RS,SAO FRANCISCO DE PAULA,1,RS,CAXIAS DO SUL,SANTA FE,Y,61,1.0,15.0,N,0,773.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,GARIBALDI,CENTRO,Y,61,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,43,950,950,0
351,C,10,0,0,1,M,2,7,0, , ,0,TO,ARAGUAINA,SETOR UNIVERSITARIO,Y,68,2.0,0.0,N,1,700.0,0.0,1,0,0,0,0,1,1,0.0,1,Y,TO,ARAGUAINA,UBANISTA,Y,68,0,11.0,2.0,11.0,0.0,0,0,0,0,1,N,38,778,778,1
358,C,15,0,0,1,M,1,0,0,BA,IBIRAPITANGA,1,SP,Guarulhos,Sitio Sao Francisco,Y,5,1.0,4.0,N,1,654.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,SAO PAULO,LAPA,Y,5,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,29,726,726,1
359,C,25,0,0,1,F,1,0,0,PB,SAPE,1,PB,JOAO PESSOA,MANGABEIRA VII,Y,103,1.0,15.0,N,1,350.0,0.0,1,0,0,0,0,1,1,0.0,1,Y,PB,JOAO PESSOA,MANAIRA,Y,103,0,13.0,5.0,0.0,0.0,0,0,0,0,2,N,33,580,580,0
375,C,10,0,0,1,F,4,0,0,ES,BOA ESPERANGA,1,RO,SERINGUEIRAS,CENTRO,Y,77,1.0,14.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N,RO,SERINGUEIRAS,CENTRO,Y,77,0,9.0,1.0,0.0,0.0,0,0,0,0,1,N,58,789,789,0
380,C,15,0,0,1,M,2,0,0,MG,VISCONDE RIO BCO,1,MG,UBA,MEU SONHO,Y,30,1.0,8.0,N,0,960.0,0.0,0,0,0,0,0,1,1,45000.0,1,Y,MG,UBA,ZONA RURAL,Y,30,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,32,365,365,0
387,C,10,0,0,1,F,2,0,0,MG,frutal,1,MG,frutal,vila esperanca,Y,32,1.0,3.0,N,1,344.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MG,frutal,progresso,N, ,0,9.0,5.0,0.0,0.0,0,0,0,0,1,N,26,382,382,0
398,C,15,0,0,1,M,1,0,0,BA,ITAMARAJU,1,BA,TEIXEIRA DE FREITAS,CENTRO,Y,84,1.0,1.0,N,0,361.0,361.0,0,0,0,0,0,1,1,0.0,1,Y,BA,TEIXEIRA DE FREITAS,CENTRO,Y,84,0,9.0,2.0,0.0,0.0,0,0,0,0,2,N,20,459,459,1
400,C,15,0,0,1,F,1,1,0,RS,sao jeronimo,1,RS,sao jeronimo,sao francisco,N, ,1.0,6.0,N,1,458.0,0.0,0,0,0,0,0,1,1,30000.0,1,Y,RS,sao jeronimo,centro,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,38,967,967,1
409,C,10,0,0,1,M,2,0,0,MT,CUIABA,1,MT,VARZEA GRANDE,PQ DO LAGO,Y,71,1.0,1.0,N,0,609.0,0.0,1,0,0,0,0,0,0,10000.0,1,Y,MT,CUIABA,BAU,Y,71,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,22,781,781,0
418,C,5,0,0,1,F,2,3,0,PI,nazare,1,TO,araguaina,vila alianca,Y,68,1.0,0.0,N,0,1500.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MG,belo horizonte,sao pedro,Y,68,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,45,778,778,1
427,C,5,0,0,1,M,2,0,0,RS,PORTO ALEGRE,1,RS,ALVORADA,INTERSUL,Y,54,1.0,24.0,N,1,900.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,PORTO ALEGRE,RIO BRANCO,Y,54,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,25,948,948,0
445,C,10,0,0,1,M,1,0,0,RS,Cambara do Sul,1,RS,Igrejinha,Quinze de Novembro,Y,54,1.0,16.0,N,1,830.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,Igrejinha,Quinze de Novembro,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,51,956,956,0
460,C,25,0,0,1,M,2,2,0, , ,0,RJ,RIO DE JANEIRO,INHOAIBA,Y,20,1.0,0.0,N,1,370.0,0.0,1,0,0,0,0,1,1,0.0,1,Y,RJ,RIO DE JANEIRO,TIJUCA,Y,20,0,9.0,2.0,11.0,0.0,0,0,0,0,1,N,45,230,230,0
467,C,5,0,0,1,M,2,1,0,RS,piratini,1,RS,sao jeronimo,bela vista,Y,54,1.0,10.0,N,1,5317.0,0.0,0,0,0,0,0,1,1,32000.0,1,Y,RS,SAO JERONIMO,CENTRO,Y,54,0,9.0,2.0,11.0,0.0,0,0,0,0,1,N,61,967,967,0
472,C,5,0,0,1,M,2,2,0,CE,JUAZEIRO DO NORTE,1,SP,BARUERI,PAQ DOS CAMARGOS,Y,5,1.0,3.0,N,0,1664.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,SAO PAULO,LUZ,Y,5,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,45,643,643,1
480,C,10,0,0,1,M,2,0,0,RS,ITAQUI,1,RS,ITAQUI,PROMORAR,Y,62,1.0,20.0,N,0,720.0,0.0,0,0,0,0,0,0,0,0.0,1,Y,RS,ITAQUI,CENTRO,Y,62,0,9.0,5.0,9.0,2.0,0,0,0,0,1,N,41,976,976,0
482,C,10,0,0,2,F,2,1,0,GO,Anapolis,1,GO,ANAPOLIS,JARDIM EUROPA,N, ,1.0,1.0,N,0,471.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,GO,Anapolis,Centro,N, ,0,9.0,2.0,9.0,4.0,0,0,0,0,2,N,27,750,750,0
483,C,15,0,0,1,M,2,0,0,MA,BARAO DE GRAJAU,1,PI,FLORIANO,CAMPO VELHO,Y,114,1.0,5.0,N,1,390.0,0.0,0,0,0,0,0,1,1,15000.0,1,Y,PE,FLORIANO,CENTRO,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,26,648,648,1
484,C,1,0,0,1,F,2,0,0,SP,FERNANDOPOLIS,1,SP,FERNANDOPOLIS,BRASILANDIA,Y,15,1.0,7.0,N,0,660.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,FERNANDOPOLIS,CENTRO,Y,15,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,29,156,156,0
492,C,20,0,0,1,M,1,1,0,SP,SAO CAETANO DO SUL,1,PR,CURITIBA,BAIRRO NOVO B,Y,40,1.0,5.0,N,1,1200.0,720.0,0,0,0,0,0,1,1,20000.0,1,Y,PR,CURITIBA, ,Y,40,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,24,819,819,1
508,C,5,0,0,1,F,1,4,0,MA,SAO LUIS,1,CE,ITAITINGA,BARROCAO,Y,107,1.0,5.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,CE,ITAITINGA,PQ DOM PEDRO,Y,107,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,29,618,618,0
512,C,1,0,0,1,F,2,0,0,PE,RECIFE,1,PE,GARANHUNS,MAGANO,Y,111,1.0,2.0,N,0,1200.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PE,GARANHUNS,CENTRO,Y,111,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,52,552,552,0
513,C,15,0,0,1,M,2,1,0,MS,ELDORADO,1,RO,NOVA BRASILANDIA DO OESTE,CENTRO,Y,77,1.0,2.0,N,0,515.0,0.0,0,0,0,0,0,1,1,12000.0,1,Y,RO,NOVA BRASILANDIA DO OESTE,CENTRO,Y,77,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,25,789,789,0
516,C,25,0,0,1,F,2,0,0,PR,engenheiro beltrao,1,PR,MANDAGUARI,JARD PROGRESSO,Y,44,2.0,0.0,N,0,478.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PR,mandaguari,parque industrial,N, ,0,9.0,2.0,9.0,2.0,0,0,0,0,1,N,23,869,869,0
517,C,10,0,0,1,M,1,0,0,CE,ARACATI,1,CE,ARACATI,CASTELO,Y,112,5.0,5.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,CE,ARACATI,CANOA QUEBRADA,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,2,N,29,628,628,0
526,C,10,0,0,1,F,2,2,0,MG,botumirim,1,SP,botucatu,jardim brasil,N, ,1.0,9.0,N,0,800.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,SP,botucatu,pq industrial,Y,12,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,33,186,186,1
529,C,5,0,0,1,F,2,0,0,PA,BELEM,1,PA,BELEM,CARIUNAS,Y,117,1.0,48.0,N,1,908.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PA,BELEM,CREMACAO,N, ,0,9.0,2.0,11.0,0.0,0,0,0,0,1,N,51,660,660,1
550,C,10,0,0,1,M,2,2,0,BA,SALVADOR,1,BA,POJUCA,VITORIA,Y,81,1.0,2.0,N,0,607.0,0.0,1,1,0,0,0,1,1,0.0,1,Y,BA,POJUCA,INOCOOP,Y,81,0,9.0,5.0,0.0,0.0,0,0,0,0,1,N,29,481,481,0
555,C,25,0,0,1,M,6,2,0,PE,GOIANA,1,PE,GOIANA,ZONA RURAL,Y,97,4.0,9.0,N,1,678.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PE,TIMBAUBA, ,N, ,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,35,559,559,0
573,C,5,0,0,1,F,1,0,0,BA,ILHEUS,1,BA,ILHEUS,PONTAL,Y,84,1.0,25.0,N,0,414.0,0.0,0,1,0,0,0,1,1,0.0,1,Y,BA,ILHEUS,CENTRO,Y,84,0,9.0,5.0,0.0,0.0,0,0,0,0,1,N,25,456,456,0
592,C,10,Web,0,1,F,2,0,0,SC,FLORIANOPOLIS,1,SC,FLORIANOPOLIS,SACO GRANDE,Y,50,2.0,2.0,N,1,451.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,SC,FLORIANOPOLIS,ESTRITO,N, ,0,9.0,2.0,9.0,4.0,0,0,0,0,2,N,36,880,880,1
611,C,10,0,0,1,F,1,1,0,RN,JOAO CAMARA,1,RN,SAO GONCALO AMARANTE,AMARANTE,Y,105,1.0,20.0,N,1,354.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RN,EXTREMOZ,DIST INDUSTRIAL,Y,105,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,38,592,592,1
630,C,25,0,0,1,M,6,1,0,MS,DOURADOS,1,MS,DOURADOS,JARDIM MAIPU,Y,75,1.0,0.0,N,0,1365.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,MS,DOURADOS, ,Y,75,0,9.0,2.0,0.0,0.0,0,0,0,0,1,N,31,798,798,0
